AccountNumber,AccountType,ProductCode,OriginalAmount,CurrentAmount,InterestRate,RepaymentAmount,NumberOfRepayments,OriginalTerm,RemainingTerm,PaymentMethod,Period,UndrawnAmount,AdvanceAmount,LinkedSavingsAccountNumber,LmiPolicyNumber,InsurerName,RolloverProductCode,RolloverInterestRate,AdditionalRepayment1RemainingTerm,AdditionalRepayment1PaymentMethod,AdditionalRepayment2RemainingTerm,AdditionalRepayment2PaymentMethod,CalculateMaturityDate,CurrentArrears,PreviousArrears,LenderName,AdditionalRepayment,CompletedIOTermValue,CompletedIOTermUnits,BSB,AccountName,Description,LoanDetailsMaturityDate
989891057,PERSONAL_LOAN,PL003,23679.65,6500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
989891058,PERSONAL_LOAN,PL003,23679.65,6500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
989891059,PERSONAL_LOAN,PL003,23679.65,6500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
989891060,PERSONAL_LOAN,PL003,23679.65,6500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
989891061,PERSONAL_LOAN,PL003,23679.65,6500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
989891062,PERSONAL_LOAN,PL003,23679.65,6500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
989891064,SAVINGS,,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones SAV,,
989891065,TRANSACTIONAL,,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones TRA,,
989891066,SAVINGS,,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones SAV,,
989891067,TRANSACTIONAL,,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones TRA,,
989891068,SAVINGS,,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones SAV,,
989891069,TRANSACTIONAL,,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones TRA,,
989891070,SAVINGS,,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones joint SAV,,
989891071,TRANSACTIONAL,,1071,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones joint TRA,,
989891072,SAVINGS,,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones joint SAV,,
989891073,TRANSACTIONAL,,1073,,,,,,,,,,,,,,,,,,,,,,,,,,,112879,Jones joint TRA,,
989891074,SAVINGS,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,123456,"A DYMOCK, R HAWTHORN",,
294837233,BUSINESS_LENDING,CUT001,1000000,1000000,5.6,16384,40,60,40,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
5645666654,BUSINESS_LENDING,CLOC001,100000,100000,5.35,,,,,InterestOnly,Monthly,0,0,,,,,,,,,,,,,,,,,,,Line of credit,
TEXT-2323424244242315,CREDIT_CARD,BCC01,50000,50000,6.7,,,,,InterestOnly,Monthly,,,,,,,,,,,,,,,,,,,,,,
669964598,PROPERTY,HL001,400000,250000,5.34,2231,240,360,240,PrincipalAndInterest,Monthly,,100000,,,,,,,,,,,,,,,,,,,,
546546468,BUSINESS_LENDING,CST002,100000,90000,5.9,1569,45,60,45,PrincipalAndInterest,Monthly,,10000,,,,,,,,,,,,,,,,,,Black Pty Ltd ATF Black Unit Trust,,
846155218,BUSINESS_LENDING,CST001,100000,80000,6.74,1015,144,180,144,PrincipalAndInterest,Monthly,,20000,,,,,,,,,,,,,,,,,,,,
669964599,OVERDRAFT,COD001,50000,45000,7.2,,,,,InterestOnly,Monthly,,,,,,,,,,,,,,,,,,,,,Overdraft,
225568167,PROPERTY,HL001,200000,180000,5.7,1252,252,300,252,PrincipalAndInterest,Monthly,,20000,,,,,,,,,,,,,,,,,,,,
225477825,BUSINESS_LENDING,CST001,400000,400000,6.9,4624,100,120,100,PrincipalAndInterest,Monthly,,,,,,,,,,,,,,,,,,,,,,
555551,PROPERTY,HL004,60000,60000,3.75,2000,06,20,13,PrincipalAndInterest,Fortnightly,,,,,,,,,,,,,,,,,,,,,,
555552,PROPERTY,HL004,60000,60000,3.75,2000,06,20,13,PrincipalAndInterest,Fortnightly,,,,,,,,,,,,,,,,,,,,,,
555553,PROPERTY,HL011,60000,60000,3.75,2000,06,20,13,PrincipalAndInterest,Fortnightly,,,,,,,,,,,,,,,,,,,,,,
9860451,KIWISAVER,,55655.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954319001,SAVINGS,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954319002,SAVINGS,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954319003,SAVINGS,,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954319004,SAVINGS,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159753465,PROPERTY,HL006,100000,30000,6,1110.21,27,120,28,PrincipalAndInterest,Monthly,80000,0,1694678,,,,,,,,,,,,,,,,,,,
788963312,PROPERTY,HL006,200000,200000,3.5,898,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
500516613,PROPERTY,HL006,200000,200000,3.5,898,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
600121227,CREDIT_CARD,CC001,10000,321,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100121222,CREDIT_CARD,CC001,10000,321,12.5,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
200121333,CREDIT_CARD,CC001,20000,321,12.5,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
999999900,PROPERTY,HL001,102551.55,102551.55,3.39,454.23,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999901,PROPERTY,HL001,205666.11,205666.11,3.39,1200,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999902,PROPERTY,HL001,456000.22,456000.22,3.39,2500,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999903,PROPERTY,HL001,320000.33,320000.33,3.39,1750,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999904,PROPERTY,HL001,420000.44,420000.44,3.39,1750,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999905,PROPERTY,HL001,550000.55,550000.55,3.39,2500,360,360,360,PrincipalAndInterest,Monthly,-50000,-80000,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,
999999906,PROPERTY,HL001,800000,600000,3.39,2750,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999907,PROPERTY,HL001,800000,600000,3.39,2750,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999908,PROPERTY,HL001,800000,600000,3.39,2750,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999909,PROPERTY,HL001,800000,600000,3.39,2750,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999910,PROPERTY,HL001,750000,550000,3.39,2750,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999911,PROPERTY,HL001,678900,678900,3.26,2345,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999912,PROPERTY,HL001,789000,789000,3.12,2456,360,360,360,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
999999920,PROPERTY,HL001,501074,501074,4.74,2666,360,360,300,PrincipalAndInterest,Monthly,0,0,,,,,,100,PrincipalAndInterest,,,TRUE,,,,,,,,,,
